year,month,month_num,race,gender,age_group,education_level,industry,labor_force_thousands,employed_thousands,unemployed_thousands,unemployment_rate
2023,January,1,White,Male,20-24,Less than High School,Healthcare,1066,968,98,9.2
2023,January,1,White,Male,20-24,Less than High School,Finance,1080,970,110,10.2
2023,January,1,White,Male,20-24,Less than High School,Technology,1109,1019,90,8.2
2023,January,1,White,Male,20-24,Less than High School,Education,1071,965,106,9.9
2023,January,1,White,Male,20-24,Less than High School,Retail,1067,911,156,14.7
2023,January,1,White,Male,20-24,High School,Healthcare,2197,2057,140,6.4
2023,January,1,White,Male,20-24,High School,Finance,2156,2003,153,7.1
2023,January,1,White,Male,20-24,High School,Technology,2202,2075,127,5.8
2023,January,1,White,Male,20-24,High School,Education,2208,2058,150,6.8
2023,January,1,White,Male,20-24,High School,Retail,2131,1908,223,10.5
2023,January,1,White,Male,20-24,Some College,Healthcare,1852,1754,98,5.3
2023,January,1,White,Male,20-24,Some College,Finance,1792,1690,102,5.7
2023,January,1,White,Male,20-24,Some College,Technology,1812,1727,85,4.7
2023,January,1,White,Male,20-24,Some College,Education,1786,1692,94,5.3
2023,January,1,White,Male,20-24,Some College,Retail,1841,1687,154,8.4
2023,January,1,White,Male,20-24,Bachelor's+,Healthcare,2226,2157,69,3.1
2023,January,1,White,Male,20-24,Bachelor's+,Finance,2258,2184,74,3.3
2023,January,1,White,Male,20-24,Bachelor's+,Technology,2203,2146,57,2.6
2023,January,1,White,Male,20-24,Bachelor's+,Education,2212,2142,70,3.2
2023,January,1,White,Male,20-24,Bachelor's+,Retail,2206,2101,105,4.8
2023,January,1,White,Male,25-34,Less than High School,Healthcare,2136,2023,113,5.3
2023,January,1,White,Male,25-34,Less than High School,Finance,2168,2045,123,5.7
2023,January,1,White,Male,25-34,Less than High School,Technology,2161,2066,95,4.4
2023,January,1,White,Male,25-34,Less than High School,Education,2167,2050,117,5.4
2023,January,1,White,Male,25-34,Less than High School,Retail,2178,1996,182,8.4
2023,January,1,White,Male,25-34,High School,Healthcare,4316,4157,159,3.7
2023,January,1,White,Male,25-34,High School,Finance,4508,4324,184,4.1
2023,January,1,White,Male,25-34,High School,Technology,4421,4271,150,3.4
2023,January,1,White,Male,25-34,High School,Education,4453,4284,169,3.8
2023,January,1,White,Male,25-34,High School,Retail,4361,4109,252,5.8
2023,January,1,White,Male,25-34,Some College,Healthcare,3691,3573,118,3.2
2023,January,1,White,Male,25-34,Some College,Finance,3701,3579,122,3.3
2023,January,1,White,Male,25-34,Some College,Technology,3721,3617,104,2.8
2023,January,1,White,Male,25-34,Some College,Education,3558,3452,106,3.0
2023,January,1,White,Male,25-34,Some College,Retail,3609,3443,166,4.6
2023,January,1,White,Male,25-34,Bachelor's+,Healthcare,4509,4437,72,1.6
2023,January,1,White,Male,25-34,Bachelor's+,Finance,4344,4253,91,2.1
2023,January,1,White,Male,25-34,Bachelor's+,Technology,4365,4296,69,1.6
2023,January,1,White,Male,25-34,Bachelor's+,Education,4382,4295,87,2.0
2023,January,1,White,Male,25-34,Bachelor's+,Retail,4326,4214,112,2.6
2023,January,1,White,Male,35-44,Less than High School,Healthcare,2066,1980,86,4.2
2023,January,1,White,Male,35-44,Less than High School,Finance,2146,2043,103,4.8
2023,January,1,White,Male,35-44,Less than High School,Technology,2061,1985,76,3.7
2023,January,1,White,Male,35-44,Less than High School,Education,2097,1999,98,4.7
2023,January,1,White,Male,35-44,Less than High School,Retail,2039,1907,132,6.5
2023,January,1,White,Male,35-44,High School,Healthcare,4225,4103,122,2.9
2023,January,1,White,Male,35-44,High School,Finance,4173,4027,146,3.5
2023,January,1,White,Male,35-44,High School,Technology,4163,4059,104,2.5
2023,January,1,White,Male,35-44,High School,Education,4200,4058,142,3.4
2023,January,1,White,Male,35-44,High School,Retail,4284,4070,214,5.0
2023,January,1,White,Male,35-44,Some College,Healthcare,3540,3463,77,2.2
2023,January,1,White,Male,35-44,Some College,Finance,3502,3404,98,2.8
2023,January,1,White,Male,35-44,Some College,Technology,3523,3450,73,2.1
2023,January,1,White,Male,35-44,Some College,Education,3480,3397,83,2.4
2023,January,1,White,Male,35-44,Some College,Retail,3589,3453,136,3.8
2023,January,1,White,Male,35-44,Bachelor's+,Healthcare,4133,4067,66,1.6
2023,January,1,White,Male,35-44,Bachelor's+,Finance,4112,4047,65,1.6
2023,January,1,White,Male,35-44,Bachelor's+,Technology,4286,4222,64,1.5
2023,January,1,White,Male,35-44,Bachelor's+,Education,4228,4169,59,1.4
2023,January,1,White,Male,35-44,Bachelor's+,Retail,4105,4015,90,2.2
2023,January,1,White,Male,45-54,Less than High School,Healthcare,2001,1919,82,4.1
2023,January,1,White,Male,45-54,Less than High School,Finance,2000,1908,92,4.6
2023,January,1,White,Male,45-54,Less than High School,Technology,1975,1910,65,3.3
2023,January,1,White,Male,45-54,Less than High School,Education,2048,1967,81,4.0
2023,January,1,White,Male,45-54,Less than High School,Retail,2036,1904,132,6.5
2023,January,1,White,Male,45-54,High School,Healthcare,3887,3779,108,2.8
2023,January,1,White,Male,45-54,High School,Finance,4100,3965,135,3.3
2023,January,1,White,Male,45-54,High School,Technology,3990,3895,95,2.4
